Movie_ID,Title,Genres,Release_Year,Director,Cast,Keywords,Language,Runtime,Production_Company
MOV117251,The Fading Story 496,Crime,2025.0,Christopher Nolan,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","detective, stolen evidence",English,164.0,Paramount Pictures
MOV106689,The Glass Promise 900,"Romance, Action",2015.0,Damien Chazelle,"Rajinikanth, Fahadh Faasil, Ritika Singh",Unknown,Spanish,148.0,Warner Bros. Pictures
MOV111434,The Distant Machine 853,Thriller,2012.0,Shoojit Sircar,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","missing person, cat and mouse",French,171.0,Warner Bros. Pictures
MOV113766,The Distant Story 996,"Animation, Sci-Fi",2021.0,Makoto Shinkai,"Tony Leung, Tang Wei, Andy Lau","coming of age, talking animals, parallel universe, artificial intelligence",Bengali,129.0,Paramount Pictures
MOV106037,A Archive in Silent,Romance,1988.0,Jordan Peele,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","heartbreak, unexpected meeting",Tamil,125.0,Lionsgate
MOV111029,The Broken Mirror 523,Romance,2000.0,Damien Chazelle,"Triptii Dimri, Rajkummar Rao, Vijay Varma","first love, heartbreak",English,161.0,20th Century Studios
MOV107386,The Restless Echo 458,Romance,1980.0,Pedro AlmodÃ³var,"Chris Evans, Ana de Armas, Oscar Isaac","second chance, heartbreak",English,204.0,Phantom Films
MOV101539,Golden Valley,"Romance, Drama",2009.0,Steven Spielberg,"Dev Patel, Freida Pinto, Roshan Seth","long distance, family secrets, ambition, heartbreak",Bengali,142.0,Gaumont
MOV109166,The Falling Room 67,Sci-Fi,2023.0,Aparna Sen,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","parallel universe, artificial intelligence",English,113.0,20th Century Studios
MOV110262,The Silent Frontier 535,Action,2010.0,Zoya Akhtar,"Irrfan Khan, Tabu, Nawazuddin Siddiqui","warzone, revenge",Spanish,140.0,Hombale Films
MOV103610,Broken Kingdom,Drama,2013.0,Karthik Subbaraj,"Saoirse Ronan, Andrew Scott, Jessie Buckley, Vidya Balan","class divide, family secrets",French,153.0,Suresh Productions
MOV106333,The Blue Witness,Comedy,2023.0,Denis Villeneuve,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","wedding, road trip",English,175.0,Paramount Pictures
MOV117066,The Hidden Harbor 183,Comedy,1991.0,S. S. Rajamouli,"Tom Hanks, Emily Blunt, John Boyega","misunderstanding, awkward romance",Hindi,150.0,Netflix
MOV110475,The Sacred Season 290,Horror,1973.0,Satoshi Kon,"Gong Yoo, Kim Tae-ri, Choi Woo-shik","haunted house, isolated village",Marathi,175.0,Universal Pictures
MOV108419,The Distant Lantern 600,Horror,2007.0,Bong Joon Ho,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","ritual, haunted house",English,119.0,Sony Pictures
MOV109602,The Last Station 421,"Romance, Mystery",2014.0,Mira Nair,"Tony Leung, Tang Wei, Andy Lau","secret room, heartbreak, wedding",Japanese,131.0,Yash Raj Films
MOV118828,The Velvet Station 130,"Drama, Action",2024.0,Damien Chazelle,"Triptii Dimri, Rajkummar Rao, Vijay Varma","espionage, heist, redemption, grief",Hindi,130.0,A24
MOV100713,The Hidden Forest,Sci-Fi,2014.0,Lokesh Kanagaraj,"Gong Yoo, Kim Tae-ri, Choi Woo-shik","space mission, climate collapse",Unknown,107.0,Gaumont
MOV119186,The Burning Signal 692,"Crime, Comedy",1985.0,Karthik Subbaraj,"Tom Hanks, Emily Blunt, John Boyega","corruption, stolen evidence, wedding, misunderstanding",English,131.0,Universal Pictures
MOV111159,The Winter Voyage 398,Comedy,2012.0,Christopher Nolan,"Aamir Khan, Richa Chadda, Vijay Raaz","friendship, workplace",English,112.0,A24
MOV100831,The Hidden River,Romance,,Bong Joon Ho,"Rinko Kikuchi, Masami Nagasawa, Hidetoshi Nishijima","unexpected meeting, long distance",Tamil,158.0,Paramount Pictures
MOV116470,The Secret Horizon 721,"Comedy, Thriller",2018.0,Ryusuke Hamaguchi,"Mads Mikkelsen, Thomas Bo Larsen, Sidse Babett Knudsen, Triptii Dimri","false identity, missing person, friendship",Japanese,112.0,Paramount Pictures
MOV104697,Borrowed Beyond the Station,Drama,1980.0,Hayao Miyazaki,"Tony Leung, Tang Wei, Andy Lau","coming of age, betrayal",Telugu,126.0,Warner Bros. Pictures
MOV117851,The Winter Moon 517,Sci-Fi,2015.0,Steven Spielberg,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","time travel, space mission",Tamil,87.0,Yash Raj Films
MOV103125,Wild Beyond the River,"Action, Crime, Thriller",2010.0,Steven Spielberg,"PenÃ©lope Cruz, Javier Bardem, Antonio Banderas","money laundering, heist, stolen evidence, surveillance, revenge",English,143.0,DreamWorks Animation
MOV114909,The Distant Station 616,Horror,2005.0,Lokesh Kanagaraj,"Vidya Balan, Shefali Shah, Rajesh Tailang","isolated village, urban legend",English,142.0,Geetha Arts
MOV105764,A Valley in Electric,"Crime, Drama",1986.0,Jordan Peele,"Shah Rukh Khan, Deepika Padukone, Manoj Bajpayee","family secrets, corruption, gang rivalry, class divide",English,112.0,Sony Pictures
MOV109340,The Burning Forest 886,Drama,2011.0,Greta Gerwig,"Mads Mikkelsen, Thomas Bo Larsen, Sidse Babett Knudsen","identity, betrayal",English,123.0,Studio Ghibli
MOV108836,The Secret Room 537,Crime,2016.0,Karthik Subbaraj,"Dev Patel, Freida Pinto, Roshan Seth","organized crime, gang rivalry",English,100.0,Netflix
MOV107070,The Silver Clock 231,"Horror, Crime, Thriller, Drama",2018.0,Kabir Khan,"Vidya Balan, Shefali Shah, Rajesh Tailang","surveillance, class divide, nightmare",English,134.0,Gaumont
MOV119660,The Glass Room 22,Drama,2003.0,Zoya Akhtar,"Michael B. Jordan, Tessa Thompson, Lakeith Stanfield","ambition, betrayal",Hindi,79.0,Sony Pictures
MOV116710,The Golden Sky 425,"Drama, Thriller",2007.0,Ayan Mukerji,"Dhanush, Sai Pallavi, Prakash Raj","family secrets, cat and mouse, betrayal",English,144.0,Netflix
MOV116580,The Midnight Archive 817,Action,2014.0,Bennett Miller,"Cillian Murphy, Rebecca Ferguson, Robert Pattinson","warzone, assassination",Hindi,153.0,Warner Bros. Pictures
MOV103334,Falling Beyond the Voyage,"Crime, Thriller",2018.0,ChloÃ© Zhao,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","blackmail, corruption, missing person, stolen evidence",English,192.0,Dharma Productions
MOV116203,The Lost Road 705,Adventure,2024.0,Bong Joon Ho,"Gael GarcÃ­a Bernal, Tilda Swinton, Diego Luna","ancient map, lost city",English,108.0,Warner Bros. Pictures
MOV113223,The Forgotten Station 325,"Adventure, Thriller",2022.0,Steven Spielberg,"Tony Leung, Tang Wei, Andy Lau","treasure hunt, cat and mouse, lost city, surveillance",Malayalam,109.0,Hombale Films
MOV116741,The Northern Sky 647,"Animation, Sci-Fi, Drama",1998.0,Sanjay Leela Bhansali,"Rinko Kikuchi, Masami Nagasawa, Hidetoshi Nishijima","space mission, artificial intelligence, coming of age, inventor, redemption",English,102.0,20th Century Studios
MOV116536,The Lost Room 665,Drama,2024.0,Pedro AlmodÃ³var,"Mads Mikkelsen, Thomas Bo Larsen, Sidse Babett Knudsen","class divide, redemption",Hindi,109.0,Warner Bros. Pictures
MOV111034,The Midnight Horizon 780,Action,2007.0,S. S. Rajamouli,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","heist, warzone",Malayalam,161.0,Yash Raj Films
MOV113800,The Velvet Horizon 456,"Adventure, Thriller",2024.0,Mira Nair,"Vijay, Trisha Krishnan, Arjun Sarja","survival, cat and mouse, conspiracy",English,104.0,Dharma Productions
MOV108506,The Glass Season 886,"Drama, Animation",2025.0,S. S. Rajamouli,"Dev Patel, Freida Pinto, Roshan Seth","friendship, ambition, grief, coming of age",Hindi,153.0,Yash Raj Films
MOV103643,Room of Crimson,"Thriller, Sci-Fi",2014.0,Gauri Shinde,"Cillian Murphy, Rebecca Ferguson, Robert Pattinson","parallel universe, surveillance, artificial intelligence",Korean,107.0,20th Century Studios
MOV105482,Parallel Beyond the House,Comedy,1996.0,Steven Spielberg,"Dhanush, Sai Pallavi, Prakash Raj","friendship, road trip",Tamil,119.0,Dharma Productions
MOV116181,The Sacred River 536,"Mystery, Drama",2019.0,Denis Villeneuve,"Rajinikanth, Fahadh Faasil, Ritika Singh","vanished witness, identity, cryptic letter, redemption",Tamil,174.0,Lionsgate
MOV106850,The Lost River 927,Horror,1997.0,Anurag Kashyap,"Rajinikanth, Fahadh Faasil, Ritika Singh","isolated village, nightmare",English,138.0,A24
MOV114424,The Midnight Letter 60,Comedy,1994.0,Damien Chazelle,"Dev Patel, Freida Pinto, Roshan Seth","misunderstanding, friendship",English,152.0,Excel Entertainment
MOV106834,The Distant Machine 973,Drama,2020.0,Mira Nair,"PenÃ©lope Cruz, Javier Bardem, Antonio Banderas","class divide, ambition",English,87.0,A24
MOV115268,The Last Clock 309,"Comedy, Crime",2015.0,Shoojit Sircar,"Dulquer Salmaan, Parvathy Thiruvothu, Fahadh Faasil, Cillian Murphy","detective, misunderstanding, wedding, organized crime",English,151.0,Geetha Arts
MOV115413,The Secret City 472,Drama,2017.0,James Wan,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","ambition, redemption",Malayalam,127.0,Sony Pictures
MOV109140,The Golden Letter 455,Drama,2020.0,Denis Villeneuve,"Vidya Balan, Shefali Shah, Rajesh Tailang","betrayal, ambition",French,149.0,Hombale Films
MOV103091,A Station in Electric,Adventure,2018.0,Sanjay Leela Bhansali,"Dhanush, Sai Pallavi, Prakash Raj","ancient map, treasure hunt",Tamil,118.0,20th Century Studios
MOV106380,Between Autumn and City,Comedy,2016.0,Anurag Kashyap,"Shah Rukh Khan, Deepika Padukone, Manoj Bajpayee, Mammootty","family, misunderstanding",Tamil,136.0,Amazon MGM Studios
MOV109536,The Hidden Bridge 572,Comedy,1995.0,Meghna Gulzar,"Irrfan Khan, Tabu, Nawazuddin Siddiqui","workplace, road trip",English,169.0,Toho
MOV105077,Horizon of Crimson,Thriller,2001.0,Nagraj Manjule,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","false identity, blackmail",English,141.0,Universal Pictures
MOV100751,A Road in Neon,Sci-Fi,2019.0,Rian Johnson,"PenÃ©lope Cruz, Javier Bardem, Antonio Banderas","climate collapse, time travel",English,138.0,Lyca Productions
MOV116956,The Endless Season 985,Action,2024.0,Ayan Mukerji,"Mammootty, Nimisha Sajayan, Roshan Mathew","espionage, revenge",Telugu,148.0,Phantom Films
MOV113418,The Forgotten Machine 663,"Thriller, Romance",1995.0,Makoto Shinkai,"Tony Leung, Tang Wei, Andy Lau","false identity, blackmail, long distance",Korean,100.0,Paramount Pictures
MOV111271,The Autumn Archive 143,Sci-Fi,2011.0,Gauri Shinde,"Vijay, Trisha Krishnan, Arjun Sarja","android, parallel universe",Hindi,118.0,Universal Pictures
MOV101681,A Frontier in Secret,Action,1996.0,Rian Johnson,"Ryan Gosling, Margot Robbie, Brian Tyree Henry","heist, assassination",Malayalam,155.0,Warner Bros. Pictures
MOV111876,The Lost Story 673,"Crime, Adventure",1980.0,Ayan Mukerji,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","treasure hunt, wilderness, detective, organized crime",English,110.0,Warner Bros. Pictures
MOV104436,A Echo in Sacred,"Comedy, Action",2013.0,Lokesh Kanagaraj,"Tony Leung, Tang Wei, Andy Lau","family, wedding, espionage",English,136.0,Suresh Productions
MOV102303,A Valley in Last,Comedy,1992.0,Denis Villeneuve,"Nana Patekar, Tabu, Konkona Sen Sharma","workplace, awkward romance",English,96.0,Phantom Films
MOV101840,Fading River,"Drama, Crime, Thriller",1990.0,Nagraj Manjule,"Zendaya, TimothÃ©e Chalamet, Florence Pugh","conspiracy, false identity, detective",Korean,134.0,Warner Bros. Pictures
MOV107912,The Golden Kingdom 844,Crime,1972.0,Anurag Kashyap,"Ayushmann Khurrana, Bhumi Pednekar, Pankaj Tripathi","gang rivalry, organized crime",Telugu,137.0,Sony Pictures
MOV117287,The Wild Echo 257,Adventure,2006.0,James Wan,"Adam Driver, Scarlett Johansson, Oscar Isaac","expedition, lost city",French,130.0,Sony Pictures
MOV117793,The Autumn Frontier 798,Horror,2007.0,Vetrimaaran,"Chris Evans, Ana de Armas, Oscar Isaac","nightmare, isolated village",Malayalam,103.0,Lyca Productions
MOV109759,The Distant Season 246,"Mystery, Drama",2001.0,Taika Waititi,"Prithviraj Sukumaran, Parvathy Thiruvothu, Tovino Thomas","unsolved murder, grief, coming of age, secret room",Tamil,132.0,Phantom Films
MOV110144,The Electric Shadow 553,"Drama, Romance",2007.0,Denis Villeneuve,"Aamir Khan, Richa Chadda, Vijay Raaz","unexpected meeting, grief, long distance, coming of age",English,169.0,Red Chillies Entertainment
MOV118492,The Golden Machine 564,"Romance, Drama",2025.0,Rian Johnson,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","wedding, ambition, identity, heartbreak",English,93.0,Lionsgate
MOV107772,The Restless City 141,"Crime, Drama",2005.0,Park Chan-wook,"Chris Evans, Ana de Armas, Oscar Isaac, Vidya Balan","grief, redemption, stolen evidence, money laundering",English,110.0,PathÃ©
MOV117349,The Hidden Letter 205,"Drama, Comedy",1997.0,Greta Gerwig,"Nana Patekar, Tabu, Konkona Sen Sharma","grief, workplace, family",English,163.0,Red Chillies Entertainment
MOV110467,The Crimson Promise 140,"Thriller, Drama",1986.0,Steven Spielberg,"Zendaya, TimothÃ©e Chalamet, Florence Pugh","blackmail, identity, cat and mouse, family secrets",English,,Phantom Films
MOV103147,Between Blue and Harbor,"Drama, Action",2025.0,Meghna Gulzar,"Mammootty, Nimisha Sajayan, Roshan Mathew","assassination, revenge, class divide, ambition",English,165.0,Red Chillies Entertainment
MOV115929,The Secret Kingdom 901,"Action, Crime",2025.0,Ryusuke Hamaguchi,"Song Kang-ho, Bae Doona, Park So-dam","chase, rescue, corruption, detective",Tamil,94.0,Warner Bros. Pictures
MOV104975,Lost Beyond the Kingdom,Romance,1995.0,Ryusuke Hamaguchi,"Gong Yoo, Kim Tae-ri, Choi Woo-shik, Nana Patekar","heartbreak, unexpected meeting",English,133.0,Universal Pictures
MOV105536,The Paper Horizon,"Horror, Sci-Fi",2016.0,Lijo Jose Pellissery,"Mads Mikkelsen, Thomas Bo Larsen, Sidse Babett Knudsen","possession, android, time travel",Telugu,169.0,20th Century Studios
MOV114601,The Lost Witness 571,"Adventure, Comedy",2017.0,Steven Spielberg,"Adam Driver, Scarlett Johansson, Oscar Isaac, Saoirse Ronan","treasure hunt, friendship, awkward romance",Hindi,162.0,Yash Raj Films
MOV112903,The Velvet Frontier 180,Horror,2010.0,Mira Nair,"Gael GarcÃ­a Bernal, Tilda Swinton, Diego Luna, Mammootty","ritual, curse",English,131.0,DreamWorks Animation
MOV100208,Between Crimson and Witness,Crime,2021.0,Lokesh Kanagaraj,"Dev Patel, Freida Pinto, Roshan Seth","corruption, organized crime",English,99.0,20th Century Studios
MOV106063,A Story in Winter,Comedy,2009.0,Park Chan-wook,"Triptii Dimri, Rajkummar Rao, Vijay Varma","family, awkward romance",English,137.0,Warner Bros. Pictures
MOV105438,Silent Beyond the River,"Action, Comedy",2025.0,S. S. Rajamouli,"Tom Hanks, Emily Blunt, John Boyega","friendship, undercover, rescue",Telugu,167.0,CJ ENM
MOV111058,The Velvet Station 837,"Romance, Drama",2024.0,Anurag Kashyap,"Shah Rukh Khan, Deepika Padukone, Manoj Bajpayee","grief, class divide, wedding",English,92.0,Warner Bros. Pictures
MOV109874,The Falling Sky 410,Adventure,2017.0,Asghar Farhadi,"Nana Patekar, Tabu, Konkona Sen Sharma","expedition, survival",English,153.0,Paramount Pictures
MOV103577,Burning Beyond the Lantern,Thriller,2025.0,Unknown,"Dulquer Salmaan, Parvathy Thiruvothu, Fahadh Faasil","cat and mouse, conspiracy",English,171.0,Netflix
MOV115312,The Blue Promise 553,Adventure,2002.0,Greta Gerwig,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","lost city, expedition",Korean,165.0,Warner Bros. Pictures
MOV112114,The Wild Valley 469,Drama,2000.0,Ryusuke Hamaguchi,"Prithviraj Sukumaran, Parvathy Thiruvothu, Tovino Thomas","grief, ambition",English,129.0,Universal Pictures
MOV106874,The Electric Promise 232,"Drama, Sci-Fi",1988.0,James Wan,"Priyanka Chopra Jonas, Ranveer Singh, Anushka Sharma","time travel, climate collapse, redemption, grief",Malayalam,110.0,Sony Pictures
MOV109993,The Midnight Letter 269,"Drama, Thriller",1987.0,Nagraj Manjule,"Mammootty, Nimisha Sajayan, Roshan Mathew","redemption, cat and mouse, class divide, surveillance",English,100.0,CJ ENM
MOV114755,The Falling Road 391,Thriller,2008.0,Rajkumar Hirani,"Michael B. Jordan, Tessa Thompson, Lakeith Stanfield","cat and mouse, surveillance",Hindi,100.0,Universal Pictures
MOV100342,Between Burning and Forest,Thriller,2006.0,Bong Joon Ho,"Song Kang-ho, Bae Doona, Park So-dam","blackmail, missing person",English,,Warner Bros. Pictures
MOV112097,The Forgotten Valley 261,"Adventure, Action",1999.0,Jordan Peele,"Suriya, Jyotika, Karthi","survival, treasure hunt, heist, warzone",English,109.0,Sony Pictures
MOV102047,Season of Burning,"Thriller, Horror",2012.0,Jordan Peele,"Mammootty, Nimisha Sajayan, Roshan Mathew","missing person, possession, urban legend, false identity",Kannada,110.0,Lionsgate
MOV114710,The Northern City 891,"Romance, Drama",2009.0,Pedro AlmodÃ³var,"Tom Hanks, Emily Blunt, John Boyega","betrayal, unexpected meeting, wedding, redemption",English,93.0,Lyca Productions
MOV115420,The Neon Archive 208,"Thriller, Action",2014.0,ChloÃ© Zhao,"Zendaya, TimothÃ©e Chalamet, Florence Pugh","chase, assassination, missing person, surveillance",Hindi,130.0,Warner Bros. Pictures
MOV116131,The Midnight House 113,Adventure,1993.0,Nagraj Manjule,"Shah Rukh Khan, Deepika Padukone, Manoj Bajpayee","expedition, lost city",Bengali,117.0,Netflix
MOV112513,The Autumn City 342,Action,1996.0,Sanjay Leela Bhansali,"Dev Patel, Freida Pinto, Roshan Seth","undercover, assassination",English,102.0,Sun Pictures
MOV118510,The Golden Moon 351,Drama,2002.0,Christopher Nolan,"Adam Driver, Scarlett Johansson, Oscar Isaac","identity, family secrets",French,140.0,CJ ENM
MOV116707,The Midnight Voyage 580,"Drama, Thriller",1987.0,Christopher Nolan,"Rajinikanth, Fahadh Faasil, Ritika Singh","false identity, conspiracy, identity, coming of age",Telugu,131.0,Unknown
MOV109280,The Electric Road 245,"Drama, Comedy",2015.0,Greta Gerwig,"Rajkummar Rao, Taapsee Pannu, Pankaj Tripathi","redemption, awkward romance, family secrets, workplace",Hindi,105.0,Sun Pictures
MOV118374,The Silver Forest 131,"Adventure, Drama, Romance",2013.0,Aparna Sen,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","betrayal, ancient map, second chance, wilderness, family secrets",English,141.0,Sony Pictures
MOV100542,House of Neon,Thriller,2010.0,Bong Joon Ho,"Irrfan Khan, Tabu, Nawazuddin Siddiqui","surveillance, missing person",English,129.0,Warner Bros. Pictures
MOV101237,Between Northern and Voyage,Romance,2013.0,Kabir Khan,"Nana Patekar, Tabu, Konkona Sen Sharma","first love, unexpected meeting",English,134.0,Warner Bros. Pictures
MOV104979,The Neon Forest,"Drama, Thriller",2002.0,David Fincher,"Shah Rukh Khan, Deepika Padukone, Manoj Bajpayee","family secrets, conspiracy, ambition, surveillance",Tamil,117.0,Netflix
MOV101756,Between Parallel and Archive,Adventure,2017.0,Park Chan-wook,"Saoirse Ronan, Andrew Scott, Jessie Buckley, Dev Patel","treasure hunt, ancient map",English,123.0,Paramount Pictures
MOV112960,The Silver Shadow 621,Drama,1978.0,Zoya Akhtar,"Triptii Dimri, Rajkummar Rao, Vijay Varma","class divide, ambition",Hindi,97.0,Netflix
MOV111671,The Velvet Witness 93,"Drama, Comedy",1991.0,Unknown,"Ryan Gosling, Margot Robbie, Brian Tyree Henry","family secrets, class divide, workplace, misunderstanding",Malayalam,185.0,Paramount Pictures
MOV112981,The Blue Witness 932,"Mystery, Horror",2022.0,Anurag Kashyap,"Rajkummar Rao, Taapsee Pannu, Pankaj Tripathi","ritual, haunted house, secret room, forensic clue",English,117.0,Universal Pictures
MOV111134,The Autumn Horizon 366,Thriller,1986.0,Sanjay Leela Bhansali,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","surveillance, blackmail",Hindi,92.0,Hombale Films
MOV113615,The Golden Echo 866,Comedy,1994.0,James Wan,"Nana Patekar, Tabu, Konkona Sen Sharma, Mads Mikkelsen","family, wedding",Malayalam,169.0,Yash Raj Films
MOV102141,Autumn Machine,"Adventure, Comedy",2018.0,S. S. Rajamouli,"Suriya, Jyotika, Karthi","road trip, ancient map, family, treasure hunt",Tamil,164.0,Phantom Films
MOV108557,The Hidden Bridge 311,"Thriller, Crime",2006.0,Rajkumar Hirani,"Michael B. Jordan, Tessa Thompson, Lakeith Stanfield","stolen evidence, cat and mouse, money laundering",Spanish,84.0,Mythri Movie Makers
MOV118089,The Broken Archive 261,Action,2018.0,Karthik Subbaraj,"Vijay, Trisha Krishnan, Arjun Sarja","warzone, mercenary",English,128.0,Paramount Pictures
MOV118035,The Golden Archive 933,"Horror, Thriller",2003.0,S. S. Rajamouli,"Irrfan Khan, Tabu, Nawazuddin Siddiqui","surveillance, nightmare, false identity, ritual",English,162.0,Paramount Pictures
MOV116663,The Forgotten Shadow 812,Horror,2007.0,Vetrimaaran,"Irrfan Khan, Tabu, Nawazuddin Siddiqui","ritual, possession",Japanese,144.0,Sony Pictures
MOV111451,The Paper Room 299,"Action, Comedy, Romance",1992.0,Lokesh Kanagaraj,"Cillian Murphy, Rebecca Ferguson, Robert Pattinson","friendship, long distance, second chance, awkward romance",Telugu,148.0,20th Century Studios
MOV100754,Between Falling and Shadow,"Thriller, Action",2001.0,Bong Joon Ho,"Tom Hanks, Emily Blunt, John Boyega","undercover, missing person, assassination",English,165.0,Warner Bros. Pictures
MOV100880,Witness of Winter,Thriller,2000.0,Ayan Mukerji,"Cillian Murphy, Rebecca Ferguson, Robert Pattinson","surveillance, blackmail",English,137.0,Lionsgate
MOV113483,The Restless Season 731,Thriller,2006.0,Christopher Nolan,"Tony Leung, Tang Wei, Andy Lau","cat and mouse, missing person",Tamil,123.0,20th Century Studios
MOV100016,Restless Road,Drama,1997.0,Patty Jenkins,"Zendaya, TimothÃ©e Chalamet, Florence Pugh","ambition, coming of age",English,,20th Century Studios
MOV101027,Lost Bridge,Action,2009.0,Bong Joon Ho,Unknown,"assassination, warzone",English,131.0,Red Chillies Entertainment
MOV110809,The Fading Room 471,Drama,2024.0,Anurag Kashyap,"Nawazuddin Siddiqui, Vijay Varma, Shefali Shah, Gong Yoo","class divide, redemption",Tamil,163.0,Netflix
