Movie_ID,Title,Genres,Release_Year,Director,Cast,Keywords,Language,Runtime,Production_Company,Budget,Revenue,Popularity,Vote_Count,Average_Rating,Rating_Count,Rating_Std,Minimum_Rating,Maximum_Rating,Movie_Age,ROI,Rating_Confidence,Popularity_Category,Revenue_Category,Content_Features
MOV114993,The Golden Shadow 583,Drama,2010.0,Karthik Subbaraj,"Prithviraj Sukumaran, Parvathy Thiruvothu, Tovino Thomas","class divide, identity",Unknown,109.0,Sun Pictures,5700000.0,4800000.0,1.0532430088044098,71.0,3.4741784037558685,213.0,1.0796312727052233,1.0,5.0,16.0,-0.15789473684210525,5.365976015021851,Low,Low,drama karthik subbaraj prithviraj sukumaran  parvathy thiruvothu  tovino thomas class divide  identity unknown sun pictures
MOV100557,Northern Lantern,"Thriller, Comedy, Mystery",2010.0,Taika Waititi,"Adam Driver, Scarlett Johansson, Oscar Isaac","wedding, blackmail, secret room, awkward romance, vanished witness, conspiracy",English,152.0,Paramount Pictures,6250000.0,8900000.0,12.608127519704832,1627.0,3.375,168.0,1.1408973251729648,1.0,5.0,16.0,0.424,5.1298987149230735,Very High,Low,thriller  comedy  mystery taika waititi adam driver  scarlett johansson  oscar isaac wedding  blackmail  secret room  awkward romance  vanished witness  conspiracy english paramount pictures
MOV119204,The Northern Road 136,Sci-Fi,2000.0,Lokesh Kanagaraj,"Prithviraj Sukumaran, Parvathy Thiruvothu, Tovino Thomas","artificial intelligence, parallel universe",Hindi,153.0,Amazon MGM Studios,2750000.0,7200000.0,1.7424596558305767,885.0,3.6153846153846154,182.0,1.079893904848461,1.0,5.0,26.0,1.6181818181818182,5.209486152841421,Low,Low,sci-fi lokesh kanagaraj prithviraj sukumaran  parvathy thiruvothu  tovino thomas artificial intelligence  parallel universe hindi amazon mgm studios
MOV110790,The Borrowed Letter 66,"Thriller, Crime",2009.0,Hayao Miyazaki,Unknown,"organized crime, gang rivalry, blackmail, false identity",Spanish,113.0,Amazon MGM Studios,93900000.0,298600000.0,7.557245009753854,3604.0,3.522727272727273,176.0,1.1004131455544732,1.0,5.0,17.0,2.179978700745474,5.176149732573829,High,Very High,thriller  crime hayao miyazaki unknown organized crime  gang rivalry  blackmail  false identity spanish amazon mgm studios
MOV103605,The Winter House,Comedy,1991.0,Bong Joon Ho,"Daniel Kaluuya, Lupita Nyong'o, John David Washington, Michael B. Jordan","road trip, workplace",Bengali,129.0,Geetha Arts,17250000.0,52000000.0,94.65914248622562,14507.0,3.5833333333333335,156.0,1.0653385549012762,1.0,5.0,35.0,2.0144927536231885,5.056245805348308,Very High,High,comedy bong joon ho daniel kaluuya  lupita nyong'o  john david washington  michael b. jordan road trip  workplace bengali geetha arts
MOV105896,Restless Beyond the Echo,Drama,1994.0,Steven Spielberg,"Nana Patekar, Tabu, Konkona Sen Sharma","identity, redemption",Tamil,120.0,Universal Pictures,26450000.0,78200000.0,7.685332309445107,946.0,3.7664233576642334,137.0,0.8682536031888424,1.0,5.0,32.0,1.9565217391304348,4.927253685157205,High,High,drama steven spielberg nana patekar  tabu  konkona sen sharma identity  redemption tamil universal pictures
MOV112232,The Lost Lantern 67,Drama,2018.0,Steven Spielberg,"Zendaya, TimothÃ©e Chalamet, Florence Pugh","ambition, class divide",English,94.0,Sony Pictures,30400000.0,273700000.0,2.7233073977438167,175.0,3.518796992481203,133.0,1.0843340629118345,1.0,5.0,8.0,8.00328947368421,4.897839799950911,Medium,Very High,drama steven spielberg zendaya  timothã©e chalamet  florence pugh ambition  class divide english sony pictures
MOV101202,Paper at Archive,"Romance, Horror, Action",1986.0,Park Chan-wook,"Dev Patel, Freida Pinto, Roshan Seth","curse, heartbreak, revenge, second chance, ritual",English,96.0,Amazon MGM Studios,12350000.0,9700000.0,18.851773103660182,1636.0,3.639344262295082,122.0,1.0290457247588625,1.0,5.0,40.0,-0.2145748987854251,4.812184355372417,Very High,Low,romance  horror  action park chan-wook dev patel  freida pinto  roshan seth curse  heartbreak  revenge  second chance  ritual english amazon mgm studios
MOV105644,Between Blue and Signal,Action,2023.0,Damien Chazelle,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","rescue, revenge",Marathi,0.0,Sony Pictures,15600000.0,90000000.0,27.9703491796517,3843.0,3.392156862745098,102.0,1.1953446227886186,1.0,5.0,3.0,4.769230769230769,4.634728988229636,Very High,High,action damien chazelle ranbir kapoor  alia bhatt  vicky kaushal rescue  revenge marathi sony pictures
MOV110828,The Silent River 429,"Crime, Adventure",1996.0,S. S. Rajamouli,"Nana Patekar, Tabu, Konkona Sen Sharma","money laundering, survival, treasure hunt, gang rivalry",Bengali,103.0,Sony Pictures,22750000.0,57300000.0,7.796797111407191,303.0,3.3300970873786406,103.0,1.0607835571819124,1.0,5.0,30.0,1.5186813186813186,4.6443908991413725,High,High,crime  adventure s. s. rajamouli nana patekar  tabu  konkona sen sharma money laundering  survival  treasure hunt  gang rivalry bengali sony pictures
MOV104768,A Harbor in Distant,Drama,1985.0,Bong Joon Ho,"Rajinikanth, Fahadh Faasil, Ritika Singh","coming of age, family secrets",Hindi,119.0,Geetha Arts,13050000.0,33200000.0,9.933199719341289,16347.0,3.70873786407767,103.0,1.0537614043405397,1.0,5.0,41.0,1.5440613026819923,4.6443908991413725,High,Medium,drama bong joon ho rajinikanth  fahadh faasil  ritika singh coming of age  family secrets hindi geetha arts
MOV117948,The Winter Station 367,Mystery,2015.0,Christopher Nolan,"Triptii Dimri, Rajkummar Rao, Vijay Varma","unsolved murder, vanished witness",English,113.0,Hombale Films,28000000.0,167000000.0,4.340822972327579,893.0,3.80188679245283,106.0,1.1499052658351157,1.0,5.0,11.0,4.964285714285714,4.672828834461906,Medium,Very High,mystery christopher nolan triptii dimri  rajkummar rao  vijay varma unsolved murder  vanished witness english hombale films
MOV114784,The Fading Bridge 555,"Thriller, Drama",2019.0,Alfonso CuarÃ³n,"Rajkummar Rao, Taapsee Pannu, Pankaj Tripathi, Chris Evans","family secrets, grief, false identity, blackmail",Hindi,115.0,Universal Pictures,14800000.0,15600000.0,4.370542287462008,121.0,3.6333333333333333,90.0,0.9295401787013965,1.0,5.0,7.0,0.05405405405405406,4.51085950651685,Medium,Medium,thriller  drama alfonso cuarã³n rajkummar rao  taapsee pannu  pankaj tripathi  chris evans family secrets  grief  false identity  blackmail hindi universal pictures
MOV114896,The Blue Bridge 381,"Romance, Comedy",2008.0,Nagraj Manjule,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","long distance, heartbreak, friendship, family",Spanish,101.0,Toho,56000000.0,185000000.0,7.388425640478687,528.0,3.606060606060606,99.0,1.0283549555755405,1.0,5.0,18.0,2.3035714285714284,4.605170185988092,High,Very High,romance  comedy nagraj manjule sanya malhotra  vikrant massey  vijay raaz long distance  heartbreak  friendship  family spanish toho
MOV117251,The Fading Story 496,Crime,2025.0,Christopher Nolan,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","detective, stolen evidence",English,164.0,Paramount Pictures,54800000.0,416800000.0,15.641557291348397,2788.0,3.5063291139240507,79.0,1.0845466702908402,1.0,5.0,1.0,6.605839416058394,4.382026634673881,Very High,Very High,crime christopher nolan sanya malhotra  vikrant massey  vijay raaz detective  stolen evidence english paramount pictures
MOV106689,The Glass Promise 900,"Romance, Action",2015.0,Damien Chazelle,"Rajinikanth, Fahadh Faasil, Ritika Singh",Unknown,Spanish,148.0,Warner Bros. Pictures,15450000.0,36500000.0,24.39370601901592,25952.0,3.847058823529412,85.0,0.9941002434954166,1.0,5.0,11.0,1.3624595469255663,4.454347296253507,Very High,Medium,romance  action damien chazelle rajinikanth  fahadh faasil  ritika singh unknown spanish warner bros. pictures
MOV111434,The Distant Machine 853,Thriller,2012.0,Shoojit Sircar,"Sanya Malhotra, Vikrant Massey, Vijay Raaz","missing person, cat and mouse",French,171.0,Warner Bros. Pictures,39900000.0,46600000.0,19.283396415629667,1018.0,3.4935064935064934,77.0,1.095725866400618,1.0,5.0,14.0,0.16791979949874686,4.356708826689592,Very High,High,thriller shoojit sircar sanya malhotra  vikrant massey  vijay raaz missing person  cat and mouse french warner bros. pictures
MOV113766,The Distant Story 996,"Animation, Sci-Fi",2021.0,Makoto Shinkai,"Tony Leung, Tang Wei, Andy Lau","coming of age, talking animals, parallel universe, artificial intelligence",Bengali,129.0,Paramount Pictures,22550000.0,21500000.0,4.989430232591548,290.0,3.548780487804878,82.0,1.06750475205685,1.0,5.0,5.0,-0.04656319290465632,4.418840607796598,High,Medium,animation  sci-fi makoto shinkai tony leung  tang wei  andy lau coming of age  talking animals  parallel universe  artificial intelligence bengali paramount pictures
MOV106037,A Archive in Silent,Romance,1988.0,Jordan Peele,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","heartbreak, unexpected meeting",Tamil,125.0,Lionsgate,2050000.0,13900000.0,2.214705426737486,125.0,3.5405405405405403,74.0,1.0093967978918024,1.0,5.0,38.0,5.780487804878049,4.31748811353631,Medium,Low,romance jordan peele daniel kaluuya  lupita nyong'o  john david washington heartbreak  unexpected meeting tamil lionsgate
MOV111029,The Broken Mirror 523,Romance,2000.0,Damien Chazelle,"Triptii Dimri, Rajkummar Rao, Vijay Varma","first love, heartbreak",English,161.0,20th Century Studios,11900000.0,40300000.0,1.6553739622446342,1422.0,3.435483870967742,62.0,0.9854842820803348,1.0,5.0,26.0,2.3865546218487395,4.143134726391533,Low,High,romance damien chazelle triptii dimri  rajkummar rao  vijay varma first love  heartbreak english 20th century studios
MOV107386,The Restless Echo 458,Romance,1980.0,Pedro AlmodÃ³var,"Chris Evans, Ana de Armas, Oscar Isaac","second chance, heartbreak",English,204.0,Phantom Films,2000000.0,4300000.0,5.895810090157427,759.0,3.507042253521127,71.0,0.998187492216621,1.0,5.0,46.0,1.15,4.276666119016055,High,Low,romance pedro almodã³var chris evans  ana de armas  oscar isaac second chance  heartbreak english phantom films
MOV101539,Golden Valley,"Romance, Drama",2009.0,Steven Spielberg,"Dev Patel, Freida Pinto, Roshan Seth","long distance, family secrets, ambition, heartbreak",Bengali,142.0,Gaumont,110300000.0,972800000.0,2.9639989366982724,2684.0,3.5319148936170213,47.0,1.0601694661455174,1.0,5.0,17.0,7.819582955575703,3.871201010907891,Medium,Very High,romance  drama steven spielberg dev patel  freida pinto  roshan seth long distance  family secrets  ambition  heartbreak bengali gaumont
MOV109166,The Falling Room 67,Sci-Fi,2023.0,Aparna Sen,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","parallel universe, artificial intelligence",English,113.0,20th Century Studios,51850000.0,155200000.0,0.6945098999345538,111.0,3.7049180327868854,61.0,0.9720127278844649,1.0,5.0,3.0,1.9932497589199614,4.127134385045092,Low,Very High,sci-fi aparna sen ranbir kapoor  alia bhatt  vicky kaushal parallel universe  artificial intelligence english 20th century studios
MOV110262,The Silent Frontier 535,Action,2010.0,Zoya Akhtar,"Irrfan Khan, Tabu, Nawazuddin Siddiqui","warzone, revenge",Spanish,140.0,Hombale Films,105300000.0,415800000.0,12.096630649368134,3710.0,3.4838709677419355,62.0,1.1698666798620718,1.0,5.0,16.0,2.948717948717949,4.143134726391533,Very High,Very High,action zoya akhtar irrfan khan  tabu  nawazuddin siddiqui warzone  revenge spanish hombale films
MOV103610,Broken Kingdom,Drama,2013.0,Karthik Subbaraj,"Saoirse Ronan, Andrew Scott, Jessie Buckley, Vidya Balan","class divide, family secrets",French,153.0,Suresh Productions,7150000.0,14200000.0,3.7573790273540406,1051.0,3.2777777777777777,54.0,1.1560614116133208,1.0,5.0,13.0,0.986013986013986,4.007333185232471,Medium,Low,drama karthik subbaraj saoirse ronan  andrew scott  jessie buckley  vidya balan class divide  family secrets french suresh productions
MOV106333,The Blue Witness,Comedy,2023.0,Denis Villeneuve,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","wedding, road trip",English,175.0,Paramount Pictures,39500000.0,148900000.0,6.573560401519995,1453.0,3.3260869565217392,46.0,1.055237684149078,1.0,5.0,3.0,2.769620253164557,3.8501476017100584,High,Very High,comedy denis villeneuve ranbir kapoor  alia bhatt  vicky kaushal wedding  road trip english paramount pictures
MOV117066,The Hidden Harbor 183,Comedy,1991.0,S. S. Rajamouli,"Tom Hanks, Emily Blunt, John Boyega","misunderstanding, awkward romance",Hindi,150.0,Netflix,36500000.0,125900000.0,3.5907007456181312,434.0,3.617021276595745,47.0,1.1335437217428725,1.0,5.0,35.0,2.4493150684931506,3.871201010907891,Medium,Very High,comedy s. s. rajamouli tom hanks  emily blunt  john boyega misunderstanding  awkward romance hindi netflix
MOV110475,The Sacred Season 290,Horror,1973.0,Satoshi Kon,"Gong Yoo, Kim Tae-ri, Choi Woo-shik","haunted house, isolated village",Marathi,175.0,Universal Pictures,2550000.0,3300000.0,2.318274142454261,1400.0,3.54,50.0,1.2157134463653305,1.0,5.0,53.0,0.29411764705882354,3.9318256327243257,Medium,Low,horror satoshi kon gong yoo  kim tae-ri  choi woo-shik haunted house  isolated village marathi universal pictures
MOV108419,The Distant Lantern 600,Horror,2007.0,Bong Joon Ho,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","ritual, haunted house",English,119.0,Sony Pictures,9850000.0,4100000.0,13.59802008477319,404.0,3.263157894736842,57.0,1.0441386708238396,1.0,5.0,19.0,-0.583756345177665,4.060443010546419,Very High,Low,horror bong joon ho daniel kaluuya  lupita nyong'o  john david washington ritual  haunted house english sony pictures
MOV109602,The Last Station 421,"Romance, Mystery",2014.0,Mira Nair,"Tony Leung, Tang Wei, Andy Lau","secret room, heartbreak, wedding",Japanese,131.0,Yash Raj Films,22400000.0,38500000.0,28.68456586603129,69054.0,3.6491228070175437,57.0,0.9159543826401478,1.0,5.0,12.0,0.71875,4.060443010546419,Very High,Medium,romance  mystery mira nair tony leung  tang wei  andy lau secret room  heartbreak  wedding japanese yash raj films
MOV118828,The Velvet Station 130,"Drama, Action",2024.0,Damien Chazelle,"Triptii Dimri, Rajkummar Rao, Vijay Varma","espionage, heist, redemption, grief",Hindi,130.0,A24,10700000.0,12600000.0,0.7110903289173766,331.0,4.2444444444444445,45.0,0.9806202943118001,2.0,5.0,2.0,0.17757009345794392,3.828641396489095,Low,Low,drama  action damien chazelle triptii dimri  rajkummar rao  vijay varma espionage  heist  redemption  grief hindi a24
MOV100713,The Hidden Forest,Sci-Fi,2014.0,Lokesh Kanagaraj,"Gong Yoo, Kim Tae-ri, Choi Woo-shik","space mission, climate collapse",Unknown,107.0,Gaumont,11900000.0,39900000.0,9.28514678691118,5538.0,3.975,40.0,1.025007817356056,1.0,5.0,12.0,2.3529411764705883,3.713572066704308,High,High,sci-fi lokesh kanagaraj gong yoo  kim tae-ri  choi woo-shik space mission  climate collapse unknown gaumont
MOV119186,The Burning Signal 692,"Crime, Comedy",1985.0,Karthik Subbaraj,"Tom Hanks, Emily Blunt, John Boyega","corruption, stolen evidence, wedding, misunderstanding",English,131.0,Universal Pictures,12400000.0,180200000.0,4.1677659299455865,215.0,3.7435897435897436,39.0,1.2506408613597126,1.0,5.0,41.0,13.53225806451613,3.6888794541139363,Medium,Very High,crime  comedy karthik subbaraj tom hanks  emily blunt  john boyega corruption  stolen evidence  wedding  misunderstanding english universal pictures
MOV111159,The Winter Voyage 398,Comedy,2012.0,Christopher Nolan,"Aamir Khan, Richa Chadda, Vijay Raaz","friendship, workplace",English,112.0,A24,7650000.0,5900000.0,8.348677104695167,1272.0,3.392857142857143,56.0,1.0212037714663722,1.0,5.0,14.0,-0.22875816993464052,4.04305126783455,High,Low,comedy christopher nolan aamir khan  richa chadda  vijay raaz friendship  workplace english a24
MOV100831,The Hidden River,Romance,2010.0,Bong Joon Ho,"Rinko Kikuchi, Masami Nagasawa, Hidetoshi Nishijima","unexpected meeting, long distance",Tamil,158.0,Paramount Pictures,8300000.0,26300000.0,0.8064884438270308,432.0,3.8181818181818183,55.0,0.9045340337332909,1.0,5.0,16.0,2.1686746987951806,4.02535169073515,Low,Medium,romance bong joon ho rinko kikuchi  masami nagasawa  hidetoshi nishijima unexpected meeting  long distance tamil paramount pictures
MOV116470,The Secret Horizon 721,"Comedy, Thriller",2018.0,Ryusuke Hamaguchi,"Mads Mikkelsen, Thomas Bo Larsen, Sidse Babett Knudsen, Triptii Dimri","false identity, missing person, friendship",Japanese,112.0,Paramount Pictures,27400000.0,92000000.0,1.5445146279436264,2090.0,3.611111111111111,36.0,1.1533250756654563,1.0,5.0,8.0,2.3576642335766422,3.6109179126442243,Low,High,comedy  thriller ryusuke hamaguchi mads mikkelsen  thomas bo larsen  sidse babett knudsen  triptii dimri false identity  missing person  friendship japanese paramount pictures
MOV104697,Borrowed Beyond the Station,Drama,1980.0,Hayao Miyazaki,"Tony Leung, Tang Wei, Andy Lau","coming of age, betrayal",Telugu,126.0,Warner Bros. Pictures,20200000.0,52200000.0,14.95370144462321,2937.0,3.5238095238095237,42.0,1.0873573971677286,1.0,5.0,46.0,1.5841584158415842,3.7612001156935624,Very High,High,drama hayao miyazaki tony leung  tang wei  andy lau coming of age  betrayal telugu warner bros. pictures
MOV117851,The Winter Moon 517,Sci-Fi,2015.0,Steven Spielberg,"Ranbir Kapoor, Alia Bhatt, Vicky Kaushal","time travel, space mission",Tamil,87.0,Yash Raj Films,6950000.0,10700000.0,5.274893705888906,2480.0,3.5869565217391304,46.0,1.045117472536445,1.0,5.0,11.0,0.539568345323741,3.8501476017100584,High,Low,sci-fi steven spielberg ranbir kapoor  alia bhatt  vicky kaushal time travel  space mission tamil yash raj films
MOV103125,Wild Beyond the River,"Action, Crime, Thriller",2010.0,Steven Spielberg,"PenÃ©lope Cruz, Javier Bardem, Antonio Banderas","money laundering, heist, stolen evidence, surveillance, revenge",English,143.0,DreamWorks Animation,7550000.0,10700000.0,4.518559075749497,871.0,4.457142857142857,35.0,0.7413365173339117,2.0,5.0,16.0,0.41721854304635764,3.58351893845611,Medium,Low,action  crime  thriller steven spielberg penã©lope cruz  javier bardem  antonio banderas money laundering  heist  stolen evidence  surveillance  revenge english dreamworks animation
MOV114909,The Distant Station 616,Horror,2005.0,Lokesh Kanagaraj,"Vidya Balan, Shefali Shah, Rajesh Tailang","isolated village, urban legend",English,142.0,Geetha Arts,10850000.0,67400000.0,2.4937561215486497,1753.0,3.3548387096774195,31.0,1.112006807436423,1.0,5.0,21.0,5.211981566820277,3.4657359027997265,Medium,High,horror lokesh kanagaraj vidya balan  shefali shah  rajesh tailang isolated village  urban legend english geetha arts
MOV105764,A Valley in Electric,"Crime, Drama",1986.0,Jordan Peele,"Shah Rukh Khan, Deepika Padukone, Manoj Bajpayee","family secrets, corruption, gang rivalry, class divide",English,112.0,Sony Pictures,2900000.0,6000000.0,1.370617005769615,1877.0,2.7346938775510203,49.0,1.1506431209705008,1.0,4.0,40.0,1.0689655172413792,3.912023005428146,Low,Low,crime  drama jordan peele shah rukh khan  deepika padukone  manoj bajpayee family secrets  corruption  gang rivalry  class divide english sony pictures
MOV109340,The Burning Forest 886,Drama,2011.0,Greta Gerwig,"Mads Mikkelsen, Thomas Bo Larsen, Sidse Babett Knudsen","identity, betrayal",English,123.0,Studio Ghibli,75050000.0,236700000.0,3.983132299757265,1611.0,3.757575757575758,33.0,0.9692233691951195,1.0,5.0,15.0,2.1538974017321784,3.5263605246161616,Medium,Very High,drama greta gerwig mads mikkelsen  thomas bo larsen  sidse babett knudsen identity  betrayal english studio ghibli
MOV108836,The Secret Room 537,Crime,2016.0,Karthik Subbaraj,"Dev Patel, Freida Pinto, Roshan Seth","organized crime, gang rivalry",English,100.0,Netflix,43850000.0,171300000.0,59.84319036792329,18719.0,3.3142857142857145,35.0,1.3009369603443186,1.0,5.0,10.0,2.9064994298745725,3.58351893845611,Very High,Very High,crime karthik subbaraj dev patel  freida pinto  roshan seth organized crime  gang rivalry english netflix
MOV107070,The Silver Clock 231,"Horror, Crime, Thriller, Drama",2018.0,Kabir Khan,"Vidya Balan, Shefali Shah, Rajesh Tailang","surveillance, class divide, nightmare",English,134.0,Gaumont,62750000.0,417200000.0,0.3394491000275303,67.0,3.292682926829268,41.0,1.0780515395616388,1.0,5.0,8.0,5.648605577689243,3.7376696182833684,Low,Very High,horror  crime  thriller  drama kabir khan vidya balan  shefali shah  rajesh tailang surveillance  class divide  nightmare english gaumont
MOV119660,The Glass Room 22,Drama,2003.0,Zoya Akhtar,"Michael B. Jordan, Tessa Thompson, Lakeith Stanfield","ambition, betrayal",Hindi,79.0,Sony Pictures,6800000.0,17900000.0,1.9696001883398484,511.0,3.625,40.0,1.0545992068930676,1.0,5.0,23.0,1.6323529411764706,3.713572066704308,Low,Medium,drama zoya akhtar michael b. jordan  tessa thompson  lakeith stanfield ambition  betrayal hindi sony pictures
MOV116710,The Golden Sky 425,"Drama, Thriller",2007.0,Ayan Mukerji,"Dhanush, Sai Pallavi, Prakash Raj","family secrets, cat and mouse, betrayal",English,144.0,Netflix,80700000.0,82400000.0,1.6211923188400648,234.0,3.6744186046511627,43.0,1.0401678031419954,1.0,5.0,19.0,0.021065675340768277,3.784189633918261,Low,High,drama  thriller ayan mukerji dhanush  sai pallavi  prakash raj family secrets  cat and mouse  betrayal english netflix
MOV116580,The Midnight Archive 817,Action,2014.0,Bennett Miller,"Cillian Murphy, Rebecca Ferguson, Robert Pattinson","warzone, assassination",Hindi,153.0,Warner Bros. Pictures,18550000.0,293800000.0,13.146182837430214,1115.0,3.6285714285714286,35.0,0.9420164319072111,2.0,5.0,12.0,14.838274932614555,3.58351893845611,Very High,Very High,action bennett miller cillian murphy  rebecca ferguson  robert pattinson warzone  assassination hindi warner bros. pictures
MOV103334,Falling Beyond the Voyage,"Crime, Thriller",2018.0,ChloÃ© Zhao,"Daniel Kaluuya, Lupita Nyong'o, John David Washington","blackmail, corruption, missing person, stolen evidence",English,192.0,Dharma Productions,4750000.0,17800000.0,68.09163387983017,1670.0,3.675675675675676,37.0,0.9145142625111631,1.0,5.0,8.0,2.7473684210526317,3.6375861597263857,Very High,Medium,crime  thriller chloã© zhao daniel kaluuya  lupita nyong'o  john david washington blackmail  corruption  missing person  stolen evidence english dharma productions
MOV116203,The Lost Road 705,Adventure,2024.0,Bong Joon Ho,"Gael GarcÃ­a Bernal, Tilda Swinton, Diego Luna","ancient map, lost city",English,108.0,Warner Bros. Pictures,52700000.0,375100000.0,21.06001876965087,2528.0,3.116279069767442,43.0,1.2575354264740253,1.0,5.0,2.0,6.117647058823529,3.784189633918261,Very High,Very High,adventure bong joon ho gael garcã­a bernal  tilda swinton  diego luna ancient map  lost city english warner bros. pictures
MOV113223,The Forgotten Station 325,"Adventure, Thriller",2022.0,Steven Spielberg,"Tony Leung, Tang Wei, Andy Lau","treasure hunt, cat and mouse, lost city, surveillance",Malayalam,109.0,Hombale Films,3150000.0,10100000.0,2.756121384411902,701.0,3.6333333333333333,30.0,1.0661996103898193,1.0,5.0,4.0,2.2063492063492065,3.4339872044851463,Medium,Low,adventure  thriller steven spielberg tony leung  tang wei  andy lau treasure hunt  cat and mouse  lost city  surveillance malayalam hombale films
